73,14 03 1990,23.86,17.68,20.19,4771000,4641872,129128,180.71,6070
74,15 03 1990,24.38,16.79,20.21,4771000,4641872,129128,180.71,6070
75,16 03 1990,25.05,16.15,19.91,4771000,4641872,129128,180.71,6070
76,17 03 1990,25.08,15.95,19.98,4771000,4641872,129128,180.71,6070
77,18 03 1990,24.13,15.22,19.91,4771000,4641872,129128,180.71,6070
78,19 03 1990,24.53,14.56,19.68,4771000,4641872,129128,180.71,6070
79,20 03 1990,26.78,15.52,21.01,4771000,4641872,129128,180.71,6070
80,21 03 1990,27.05,16.05,21.57,4771000,4641872,129128,180.71,6070
81,22 03 1990,24.56,16.95,20.72,4771000,4641872,129128,180.71,6070
82,23 03 1990,25.43,15.7,20.13,4771000,4641872,129128,180.71,6070
83,24 03 1990,24.69,15.57,19.79,4771000,4641872,129128,180.71,6070
84,25 03 1990,27.29,15.57,20.89,4771000,4641872,129128,180.71,6070
85,26 03 1990,24.53,17.37,20.69,4771000,4641872,129128,180.71,6070
86,27 03 1990,26.7,18.29,21.66,4771000,4641872,129128,180.71,6070
87,28 03 1990,25.57,16.97,20.66,4771000,4641872,129128,180.71,6070
88,29 03 1990,27.72,16.89,21.64,4771000,4641872,129128,180.71,6070
89,30 03 1990,24.23,15.83,19.96,4771000,4641872,129128,180.71,6070
90,31 03 1990,24.79,16.1,20.07,4771000,4641872,129128,180.71,6070
91,1 04 1990,24.3,16.18,20.02,4771000,4641872,129128,180.71,6070
92,2 04 1990,26.02,17.24,20.74,4771000,4641872,129128,180.71,6070
93,3 04 1990,25.77,16.84,19.77,4771000,4641872,129128,180.71,6070
94,4 04 1990,25.84,16.36,20.19,4771000,4641872,129128,180.71,6070
95,5 04 1990,24.72,16.96,19.98,4771000,4641872,129128,180.71,6070
96,6 04 1990,23.8,16.84,19.76,4771000,4641872,129128,180.71,6070
97,7 04 1990,26.51,16.64,20.75,4771000,4641872,129128,180.71,6070
98,8 04 1990,27.8,16.74,21.23,4771000,4641872,129128,180.71,6070
99,9 04 1990,25.87,18.42,20.9,4771000,4641872,129128,180.71,6070
100,10 04 1990,25.65,16.5,19.64,4771000,4641872,129128,180.71,6070
101,11 04 1990,27.48,16.43,20.54,4771000,4641872,129128,180.71,6070
102,12 04 1990,26.02,16.24,20.7,4771000,4641872,129128,180.71,6070
103,13 04 1990,26.55,17.72,21.35,4771000,4641872,129128,180.71,6070
104,14 04 1990,26.61,17.56,21.26,4771000,4641872,129128,180.71,6070
105,15 04 1990,28.1,16.28,22,4771000,4641872,129128,180.71,6070
106,16 04 1990,25.96,17.34,21.16,4771000,4641872,129128,180.71,6070
107,17 04 1990,28.02,18.91,22.05,4771000,4641872,129128,180.71,6070
108,18 04 1990,28.44,17.87,21.76,4771000,4641872,129128,180.71,6070
109,19 04 1990,23.6,16.57,19.74,4771000,4641872,129128,180.71,6070
110,20 04 1990,24.87,17.73,20.92,4771000,4641872,129128,180.71,6070
111,21 04 1990,26.64,15.65,20.99,4771000,4641872,129128,180.71,6070
112,22 04 1990,26.61,15.84,21.6,4771000,4641872,129128,180.71,6070
113,23 04 1990,27.65,16.64,21.86,4771000,4641872,129128,180.71,6070
114,24 04 1990,27.25,16.43,21.79,4771000,4641872,129128,180.71,6070
115,25 04 1990,28.03,17.74,21.75,4771000,4641872,129128,180.71,6070
116,26 04 1990,26.02,17.37,21.39,4771000,4641872,129128,180.71,6070
117,27 04 1990,26.04,17.22,20.74,4771000,4641872,129128,180.71,6070
118,28 04 1990,26.46,15.1,20.68,4771000,4641872,129128,180.71,6070
119,29 04 1990,25.64,14.88,19.86,4771000,4641872,129128,180.71,6070
120,30 04 1990,28.98,16,21.44,4771000,4641872,129128,180.71,6070
121,1 05 1990,27.94,16.01,21.87,4771000,4641872,129128,180.71,6070
122,2 05 1990,24.94,17.86,20.48,4771000,4641872,129128,180.71,6070
123,3 05 1990,25.73,16.73,20.55,4771000,4641872,129128,180.71,6070
124,4 05 1990,27.17,15.57,20.94,4771000,4641872,129128,180.71,6070
125,5 05 1990,26.18,15.4,21.1,4771000,4641872,129128,180.71,6070
126,6 05 1990,27.48,16.2,21.06,4771000,4641872,129128,180.71,6070
127,7 05 1990,25.18,17.09,20.89,4771000,4641872,129128,180.71,6070
128,8 05 1990,26.21,16.7,21.29,4771000,4641872,129128,180.71,6070
129,9 05 1990,25.65,15.95,20.69,4771000,4641872,129128,180.71,6070
130,10 05 1990,26.59,16.38,21.23,4771000,4641872,129128,180.71,6070
131,11 05 1990,24.9,17.76,20.78,4771000,4641872,129128,180.71,6070
132,12 05 1990,25.06,17.48,20.61,4771000,4641872,129128,180.71,6070
133,13 05 1990,24.95,16.14,19.61,4771000,4641872,129128,180.71,6070
134,14 05 1990,26.23,16.96,21.07,4771000,4641872,129128,180.71,6070
135,15 05 1990,25.82,17.49,20.75,4771000,4641872,129128,180.71,6070
136,16 05 1990,25.74,16.86,20.12,4771000,4641872,129128,180.71,6070
137,17 05 1990,26.36,15.93,20.74,4771000,4641872,129128,180.71,6070
138,18 05 1990,26.6,16.84,22.08,4771000,4641872,129128,180.71,6070
139,19 05 1990,26.85,16.9,21.7,4771000,4641872,129128,180.71,6070
140,20 05 1990,27.39,17.98,22.27,4771000,4641872,129128,180.71,6070
141,21 05 1990,28.34,16,22.5,4771000,4641872,129128,180.71,6070
142,22 05 1990,26.12,16.24,21.32,4771000,4641872,129128,180.71,6070
143,23 05 1990,24.27,17.56,19.99,4771000,4641872,129128,180.71,6070
144,24 05 1990,24.71,16.87,20.08,4771000,4641872,129128,180.71,6070
145,25 05 1990,24.46,16.78,20.35,4771000,4641872,129128,180.71,6070
146,26 05 1990,26.23,15.9,21.18,4771000,4641872,129128,180.71,6070
147,27 05 1990,24.87,16.61,20.63,4771000,4641872,129128,180.71,6070
148,28 05 1990,25.64,16.07,20.32,4771000,4641872,129128,180.71,6070
149,29 05 1990,24.12,16,19.9,4771000,4641872,129128,180.71,6070
150,30 05 1990,24.69,15.29,19.87,4771000,4641872,129128,180.71,6070
151,31 05 1990,24.29,16.16,20.04,4771000,4641872,129128,180.71,6070
152,1 06 1990,24.77,16.23,20.04,4771000,4641872,129128,180.71,6070
153,2 06 1990,24.46,15.39,19.8,4771000,4641872,129128,180.71,6070
154,3 06 1990,24.85,16.19,20.36,4771000,4641872,129128,180.71,6070
155,4 06 1990,26.12,15.6,20.5,4771000,4641872,129128,180.71,6070
156,5 06 1990,25.55,15.2,20.33,4771000,4641872,129128,180.71,6070
157,6 06 1990,26.26,15.58,20.82,4771000,4641872,129128,180.71,6070
158,7 06 1990,25.71,14.31,20.42,4771000,4641872,129128,180.71,6070
159,8 06 1990,27.79,16.38,21.28,4771000,4641872,129128,180.71,6070
160,9 06 1990,26.51,15.59,20.82,4771000,4641872,129128,180.71,6070
161,10 06 1990,25.88,15.83,20.7,4771000,4641872,129128,180.71,6070
162,11 06 1990,27.16,15.71,21.15,4771000,4641872,129128,180.71,6070
163,12 06 1990,26.39,15.56,21.34,4771000,4641872,129128,180.71,6070
164,13 06 1990,26.29,15.25,20.71,4771000,4641872,129128,180.71,6070
165,14 06 1990,25.55,14.98,20.33,4771000,4641872,129128,180.71,6070
166,15 06 1990,26.52,14.9,20.68,4771000,4641872,129128,180.71,6070
167,16 06 1990,26.09,14.96,20.08,4771000,4641872,129128,180.71,6070
168,17 06 1990,26.35,14.37,20.67,4771000,4641872,129128,180.71,6070
169,18 06 1990,27.66,14.07,21.11,4771000,4641872,129128,180.71,6070
170,19 06 1990,27.82,15.23,21.44,4771000,4641872,129128,180.71,6070
171,20 06 1990,27.31,14.9,20.92,4771000,4641872,129128,180.71,6070
172,21 06 1990,27.98,14.21,21.17,4771000,4641872,129128,180.71,6070
173,22 06 1990,28.21,14.97,21.52,4771000,4641872,129128,180.71,6070
174,23 06 1990,25.84,15.92,20.67,4771000,4641872,129128,180.71,6070
175,24 06 1990,26.5,16.37,20.93,4771000,4641872,129128,180.71,6070
176,25 06 1990,26.24,15.83,20.59,4771000,4641872,129128,180.71,6070
177,26 06 1990,25.74,15.28,20.48,4771000,4641872,129128,180.71,6070
178,27 06 1990,26.49,14.35,20.86,4771000,4641872,129128,180.71,6070
179,28 06 1990,28.77,15.53,21.7,4771000,4641872,129128,180.71,6070
180,29 06 1990,28.73,14.67,21.69,4771000,4641872,129128,180.71,6070
181,30 06 1990,26.51,15.76,21.02,4771000,4641872,129128,180.71,6070
182,1 07 1990,25.89,16.64,20.82,4771000,4641872,129128,180.71,6070
183,2 07 1990,26.76,15.21,20.47,4771000,4641872,129128,180.71,6070
184,3 07 1990,27.93,14.66,21.16,4771000,4641872,129128,180.71,6070
185,4 07 1990,27.22,14.45,20.92,4771000,4641872,129128,180.71,6070
186,5 07 1990,27.85,14.62,20.98,4771000,4641872,129128,180.71,6070
187,6 07 1990,29.01,13.68,21.37,4771000,4641872,129128,180.71,6070
188,7 07 1990,29.03,15.96,21.84,4771000,4641872,129128,180.71,6070
189,8 07 1990,27.15,14.89,21.15,4771000,4641872,129128,180.71,6070
190,9 07 1990,28.72,13.95,20.83,4771000,4641872,129128,180.71,6070
191,10 07 1990,27.28,14.88,20.74,4771000,4641872,129128,180.71,6070
192,11 07 1990,28.3,15.65,21.48,4771000,4641872,129128,180.71,6070
193,12 07 1990,27.97,14.88,21.47,4771000,4641872,129128,180.71,6070
194,13 07 1990,26.92,15.99,21.32,4771000,4641872,129128,180.71,6070
195,14 07 1990,27,16.29,21.4,4771000,4641872,129128,180.71,6070
196,15 07 1990,25.47,15.21,20.66,4771000,4641872,129128,180.71,6070
197,16 07 1990,28.03,15.32,21.15,4771000,4641872,129128,180.71,6070
198,17 07 1990,27.64,16.39,21.94,4771000,4641872,129128,180.71,6070
199,18 07 1990,27.68,15.49,21.49,4771000,4641872,129128,180.71,6070
200,19 07 1990,26.76,14.77,20.46,4771000,4641872,129128,180.71,6070
201,20 07 1990,27.94,15.11,21.47,4771000,4641872,129128,180.71,6070
202,21 07 1990,22.77,17.07,19.55,4771000,4641872,129128,180.71,6070
203,22 07 1990,24.07,15.79,19.44,4771000,4641872,129128,180.71,6070
204,23 07 1990,26.61,14.17,20.13,4771000,4641872,129128,180.71,6070
205,24 07 1990,24.73,16.73,20.22,4771000,4641872,129128,180.71,6070
206,25 07 1990,25.06,14.85,19.91,4771000,4641872,129128,180.71,6070
207,26 07 1990,25.39,14.73,19.86,4771000,4641872,129128,180.71,6070
208,27 07 1990,25.72,12.91,19.58,4771000,4641872,129128,180.71,6070
209,28 07 1990,27.38,13.26,20.32,4771000,4641872,129128,180.71,6070
210,29 07 1990,27.05,13.96,20.55,4771000,4641872,129128,180.71,6070
211,30 07 1990,28.79,13.56,21.15,4771000,4641872,129128,180.71,6070
212,31 07 1990,27.86,14.76,21.5,4771000,4641872,129128,180.71,6070
213,1 08 1990,27.1,15.08,20.75,4771000,4641872,129128,180.71,6070
214,2 08 1990,28.21,16.23,21.2,4771000,4641872,129128,180.71,6070
215,3 08 1990,28.26,15.96,21.82,4771000,4641872,129128,180.71,6070
216,4 08 1990,25.48,15.82,20.66,4771000,4641872,129128,180.71,6070
217,5 08 1990,25.96,17.07,20.78,4771000,4641872,129128,180.71,6070
218,6 08 1990,25.74,16.13,20.27,4771000,4641872,129128,180.71,6070
219,7 08 1990,25.8,15.39,19.8,4771000,4641872,129128,180.71,6070
220,8 08 1990,26.49,14.41,20.13,4771000,4641872,129128,180.71,6070
221,9 08 1990,26.92,16.09,21.13,4771000,4641872,129128,180.71,6070
222,10 08 1990,26.99,16.23,21.21,4771000,4641872,129128,180.71,6070
223,11 08 1990,25.29,17.32,20.77,4771000,4641872,129128,180.71,6070
224,12 08 1990,25.7,16.55,20.28,4771000,4641872,129128,180.71,6070
225,13 08 1990,25.83,17.44,20.67,4771000,4641872,129128,180.71,6070
226,14 08 1990,25.67,16.38,20.62,4771000,4641872,129128,180.71,6070
227,15 08 1990,27.14,16.17,21.32,4771000,4641872,129128,180.71,6070
228,16 08 1990,27.67,16.68,21.86,4771000,4641872,129128,180.71,6070
229,17 08 1990,25.86,16.5,20.66,4771000,4641872,129128,180.71,6070
230,18 08 1990,27.85,16.28,21.33,4771000,4641872,129128,180.71,6070
231,19 08 1990,28.23,15.17,21.54,4771000,4641872,129128,180.71,6070
232,20 08 1990,27.52,16.81,21.3,4771000,4641872,129128,180.71,6070
233,21 08 1990,27.03,16.6,20.77,4771000,4641872,129128,180.71,6070
234,22 08 1990,25.5,17.06,20.61,4771000,4641872,129128,180.71,6070
235,23 08 1990,27.83,14.79,21.18,4771000,4641872,129128,180.71,6070
236,24 08 1990,27.06,16.06,21.71,4771000,4641872,129128,180.71,6070
237,25 08 1990,25.68,17.04,21.28,4771000,4641872,129128,180.71,6070
238,26 08 1990,24.39,17.44,20.8,4771000,4641872,129128,180.71,6070
239,27 08 1990,26.97,15.64,20.88,4771000,4641872,129128,180.71,6070
